arch	algo	method	proc	object	item	invoke	finish	visibilityPoint	primaryStamp	key
AMD	Treiber	Push	4	x	173	4275740066943	-1	-1	4275740066943	268
AMD	Treiber	Push	5	x	180	4275740067971	-1	-1	4275740067971	275
AMD	Treiber	Push	4	x	179	4275740068316	-1	-1	4275740068316	274
AMD	Treiber	Push	5	x	186	4275740069328	-1	-1	4275740069328	281
AMD	Treiber	Push	4	x	185	4275740069864	-1	-1	4275740069864	280
AMD	Treiber	Push	5	x	192	4275740070777	-1	-1	4275740070777	287
AMD	Treiber	Push	4	x	191	4275740071276	-1	-1	4275740071276	286
AMD	Treiber	Pop	5	x	191	4275740072242	-1	-1	-1	293
AMD	Treiber	Pop	4	x	192	4275740072679	-1	-1	-1	292
AMD	Treiber	Pop	5	x	185	4275740073714	-1	-1	-1	299
AMD	Treiber	Pop	4	x	186	4275740074142	-1	-1	-1	298
AMD	Treiber	Pop	5	x	179	4275740075154	-1	-1	-1	305
AMD	Treiber	Pop	4	x	180	4275740075508	-1	-1	-1	304
AMD	Treiber	Pop	5	x	173	4275740076580	-1	-1	-1	311
AMD	Treiber	Pop	4	x	174	4275740076879	-1	-1	-1	310
AMD	Treiber	Pop	5	x	167	4275740077976	-1	-1	-1	317
AMD	Treiber	Pop	4	x	168	4275740078291	-1	-1	-1	316
AMD	Treiber	Pop	5	x	161	4275740079425	-1	-1	-1	323
AMD	Treiber	Pop	4	x	162	4275740079648	-1	-1	-1	322
AMD	Treiber	Pop	5	x	155	4275740080851	-1	-1	-1	329
AMD	Treiber	Pop	4	x	156	4275740081511	-1	-1	-1	328
AMD	Treiber	Pop	5	x	149	4275740082293	-1	-1	-1	335
AMD	Treiber	Pop	4	x	150	4275740082882	-1	-1	-1	334
AMD	Treiber	Pop	5	x	143	4275740083687	-1	-1	-1	341
AMD	Treiber	Pop	4	x	144	4275740084301	-1	-1	-1	340
AMD	Treiber	Pop	5	x	137	4275740085159	-1	-1	-1	347
AMD	Treiber	Pop	4	x	138	4275740085697	-1	-1	-1	346
